degree,branch,year,cgpa,skills,projects,certifications,preferred_role,preferred_location,internship_type,target_role
B.Tech,CSE,3rd Year,8.4,"react javascript html css git","portfolio website internship portal","frontend certification","frontend developer","bangalore","remote","frontend developer"
B.Tech,CSE,2nd Year,7.8,"react tailwind javascript figma","ui clone landing page","web design certificate","frontend engineer","remote","remote","frontend developer"
B.Tech,IT,3rd Year,8.1,"javascript react redux css api","ecommerce frontend dashboard","frontend specialization","ui engineer","pune","hybrid","frontend developer"
B.Tech,CSE,4th Year,8.7,"nextjs react typescript node","student platform capstone","full stack certificate","frontend developer","hyderabad","hybrid","frontend developer"
B.Tech,CSE,3rd Year,8.0,"node express mongodb api jwt","job portal backend","backend bootcamp","backend developer","bangalore","onsite","backend developer"
B.Tech,IT,4th Year,8.5,"java spring sql rest api","inventory backend microservice","java certification","backend engineer","hyderabad","onsite","backend developer"
B.Tech,CSE,3rd Year,7.9,"python django mysql api","blog cms backend","python certificate","backend developer","remote","remote","backend developer"
B.Tech,ECE,4th Year,8.2,"node express postgres docker","task manager backend","cloud basics","server side developer","pune","hybrid","backend developer"
B.Tech,CSE,3rd Year,8.8,"python pandas numpy sql excel","sales dashboard analytics","data analytics certificate","data analyst","bangalore","hybrid","data analyst"
B.Tech,IT,2nd Year,8.1,"sql excel tableau statistics","college survey analysis","business analytics certificate","analyst intern","remote","remote","data analyst"
B.Sc,Statistics,3rd Year,8.6,"python sql power bi pandas","retail trend analysis","power bi badge","data analyst","mumbai","onsite","data analyst"
B.Tech,CSE,4th Year,8.3,"python machine learning sql visualization","placement data insights","ml basics","business data analyst","hyderabad","hybrid","data analyst"
B.Tech,CSE,4th Year,8.9,"python scikit-learn numpy pandas ml","image classification recommendation system","machine learning certificate","ml engineer","bangalore","hybrid","machine learning engineer"
B.Tech,IT,3rd Year,8.4,"python tensorflow pandas mlops","chatbot sentiment project","ai foundation","ai intern","remote","remote","machine learning engineer"
B.Tech,CSE,4th Year,8.7,"python sklearn feature engineering docker","student prediction model","advanced ml credential","machine learning intern","pune","hybrid","machine learning engineer"
B.Tech,ECE,4th Year,8.0,"python deep learning numpy opencv","gesture recognition system","computer vision course","computer vision intern","bangalore","onsite","machine learning engineer"
B.Tech,CSE,3rd Year,8.2,"figma wireframing prototyping design systems","food delivery redesign","ui ux bootcamp","ui ux designer","remote","remote","ui ux designer"
B.Des,UX,3rd Year,8.5,"figma user research prototype usability","campus app redesign","ux research certificate","product designer","bangalore","hybrid","ui ux designer"
B.Tech,IT,2nd Year,7.7,"figma adobe xd visual design","travel landing page redesign","design foundation","ui designer","pune","remote","ui ux designer"
B.Des,Interaction Design,4th Year,8.8,"figma storytelling user flows design","fintech app case study","product design certificate","ux designer","hyderabad","onsite","ui ux designer"
BBA,Marketing,3rd Year,8.1,"seo social media analytics campaigns","brand awareness campaign","digital marketing certificate","marketing intern","mumbai","hybrid","marketing analyst"
B.Com,Marketing,2nd Year,7.9,"content writing seo analytics canva","instagram growth project","social media badge","growth marketing","remote","remote","marketing analyst"
BBA,Business Analytics,4th Year,8.3,"market research excel presentation","customer survey analysis","marketing analytics","marketing analyst","bangalore","onsite","marketing analyst"
MBA,Marketing,1st Year,8.4,"campaign strategy crm communication","lead generation project","hubspot certificate","brand analyst","hyderabad","hybrid","marketing analyst"
B.Tech,CSE,3rd Year,8.0,"excel communication sql presentation","requirements analysis case study","business analysis certificate","business analyst","bangalore","hybrid","business analyst"
BBA,Business Analytics,3rd Year,8.6,"excel sql powerpoint problem solving","retail process study","analytics workshop","business analyst","pune","onsite","business analyst"
B.Com,Finance,3rd Year,8.2,"excel stakeholder management reporting","operations analysis","business communication","operations analyst","mumbai","onsite","business analyst"
MBA,Operations,1st Year,8.5,"analysis communication dashboards crm","process improvement review","lean basics","strategy analyst","hyderabad","hybrid","business analyst"
B.Tech,CSE,3rd Year,8.5,"react node mongodb api javascript","full stack platform","mern stack certificate","full stack developer","bangalore","hybrid","full stack developer"
B.Tech,IT,4th Year,8.1,"nextjs node postgres typescript","saas dashboard","full stack bootcamp","full stack engineer","remote","remote","full stack developer"
B.Tech,CSE,4th Year,8.4,"java spring react sql","campus marketplace","web development certificate","full stack intern","pune","onsite","full stack developer"
B.Tech,CSE,3rd Year,8.3,"react express mongo deployment","event management system","cloud deployment badge","full stack developer","hyderabad","hybrid","full stack developer"
